book_id,publishing_year,title,author,book_average_rating,book_ratings_count,genre,gross_sales,publisher_revenue,sale_price,publisher,units_sold,sales_rank,company_revenue,sales_month
170,1998,Bag of Bones,Stephen King,3.87,131004,genre fiction,569.25,0.0,0.99,"Amazon Digital Services,  Inc.",575,350,569.25,1
171,1985,The Cider House Rules,John Irving,4.1,124876,genre fiction,1134.3,0.0,1.99,"Amazon Digital Services,  Inc.",570,351,1134.3,1
172,1984,Thinner,"Richard Bachman, Stephen King",3.66,130219,genre fiction,1659.45,0.0,2.99,"Amazon Digital Services,  Inc.",555,352,1659.45,1
173,1872,Le tour du monde en quatre-vingts jours,"Jules Verne, Michael Glencross, Brian W. Aldiss",3.9,117108,genre fiction,4434.45,2660.67,7.99,Penguin Group (USA) LLC,555,352,1773.78,1
174,1994,Walk Two Moons,Sharon Creech,3.95,129350,nonfiction,544.5,326.7,0.99,"Amazon Digital Services,  Inc.",550,353,217.8,1
175,2003,Onze minutos,"Paulo Coelho, Margaret Jull Costa",3.69,102206,genre fiction,534.6,0.0,0.99,"Amazon Digital Services,  Inc.",540,354,534.6,1
176,1953,Nine Stories,J.D. Salinger,4.19,105138,genre fiction,2154.6,0.0,3.99,"Amazon Digital Services,  Inc.",540,354,2154.6,1
177,2005,"Julie & Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen",Julie Powell,3.67,121373,nonfiction,1599.65,959.79,2.99,Random House LLC,535,355,639.86,1
178,2007,Unwind,Neal Shusterman,4.18,143892,genre fiction,524.7,314.82,0.99,Macmillan,530,356,209.88,1
179,1996,"Drums of Autumn (Outlander, #4)",Diana Gabaldon,4.34,123736,nonfiction,1024.85,614.91,1.99,"Amazon Digital Services,  Inc.",515,357,409.94,1
180,2013,Prodigy,Marie Lu,4.29,149702,genre fiction,1524.9,0.0,2.99,"Amazon Digital Services,  Inc.",510,358,1524.9,1
181,1603,The Tragedie of King Lear,William Shakespeare,3.89,135448,genre fiction,2014.95,1208.97,3.99,"Amazon Digital Services,  Inc.",505,359,805.98,1
182,1949,Death of a Salesman,Arthur Miller,3.49,132061,genre fiction,5433.18,3259.908,10.91,Penguin Group (USA) LLC,498,360,2173.27,1
183,2007,The Choice,Nicholas Sparks,3.99,93479,genre fiction,1483.04,0.0,2.99,"Amazon Digital Services,  Inc.",496,361,1483.04,1
184,1929,The Sound and the Fury,William Faulkner,3.86,124665,genre fiction,2445.1,1467.06,4.99,Hachette Book Group,490,362,978.04,1
185,2005,A New Earth: Awakening to Your Life's Purpose,Eckhart Tolle,4.02,106211,genre fiction,483.12,289.872,0.99,"Amazon Digital Services,  Inc.",488,363,193.25,1
